use_case,variant,db_label,n,run_id,phase,elapsed_ms,heap_b,comm_bytes,rounds,correct
UC1,label,DB2,100000,4,decrypt,3.000,2104416,1048576,1,true
UC1,std,DB2,100000,5,precomp,0.706,0,0,0,false
UC1,std,DB2,100000,5,setup,10.987,5514264,0,0,false
UC1,std,DB2,100000,5,encrypt,16.573,7257200,0,0,false
UC1,std,DB2,100000,5,eval,1.423,20085616,0,0,false
UC1,std,DB2,100000,5,decrypt,4.065,1185728,2097152,1,true
UC1,label,DB2,100000,5,precomp,0.236,0,0,0,false
UC1,label,DB2,100000,5,setup,11.533,10013112,0,0,false
UC1,label,DB2,100000,5,encrypt,18.584,11306744,0,0,false
UC1,label,DB2,100000,5,eval,2.099,20216280,0,0,false
UC1,label,DB2,100000,5,decrypt,3.605,3418248,1048576,1,true
UC1,std,DB2,100000,6,precomp,0.232,0,0,0,false
UC1,std,DB2,100000,6,setup,13.967,5514280,0,0,false
UC1,std,DB2,100000,6,encrypt,15.727,6714240,0,0,false
UC1,std,DB2,100000,6,eval,1.757,20085728,0,0,false
UC1,std,DB2,100000,6,decrypt,5.694,1185728,2097152,1,true
UC1,label,DB2,100000,6,precomp,0.699,0,0,0,false
UC1,label,DB2,100000,6,setup,12.623,10013112,0,0,false
UC1,label,DB2,100000,6,encrypt,19.647,11306904,0,0,false
UC1,label,DB2,100000,6,eval,2.290,20216280,0,0,false
UC1,label,DB2,100000,6,decrypt,3.673,3418248,1048576,1,true
UC1,std,DB2,100000,7,precomp,0.233,0,0,0,false
UC1,std,DB2,100000,7,setup,13.002,5514264,0,0,false
UC1,std,DB2,100000,7,encrypt,16.184,6714352,0,0,false
UC1,std,DB2,100000,7,eval,1.146,20085616,0,0,false
UC1,std,DB2,100000,7,decrypt,6.024,-1177488,2097152,1,true
UC1,label,DB2,100000,7,precomp,0.736,0,0,0,false
UC1,label,DB2,100000,7,setup,13.669,5510712,0,0,false
UC1,label,DB2,100000,7,encrypt,17.749,11306648,0,0,false
UC1,label,DB2,100000,7,eval,1.198,20216280,0,0,false
UC1,label,DB2,100000,7,decrypt,3.835,3418248,1048576,1,true
UC1,std,DB2,100000,8,precomp,0.527,0,0,0,false
UC1,std,DB2,100000,8,setup,11.687,10013392,0,0,false
UC1,std,DB2,100000,8,encrypt,15.598,7257200,0,0,false
UC1,std,DB2,100000,8,eval,1.316,20085616,0,0,false
UC1,std,DB2,100000,8,decrypt,4.689,1185728,2097152,1,true
UC1,label,DB2,100000,8,precomp,0.415,0,0,0,false
UC1,label,DB2,100000,8,setup,11.590,10013112,0,0,false
UC1,label,DB2,100000,8,encrypt,18.055,11306808,0,0,false
UC1,label,DB2,100000,8,eval,1.812,20216280,0,0,false
UC1,label,DB2,100000,8,decrypt,3.270,3418248,1048576,1,true
UC1,std,DB2,100000,9,precomp,0.510,0,0,0,false
UC1,std,DB2,100000,9,setup,12.735,9996152,0,0,false
UC1,std,DB2,100000,9,encrypt,16.639,6714352,0,0,false
